Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Player_href,Weight,College,Height
2019-20,25,TOT,NBA,C,29,0,256,4.9,9.4,0.522,0.6,1.7,0.333,4.4,7.7,0.564,2.7,4.4,0.613,4.2,7.2,11.4,2.3,0.4,1.4,3,2.7,13.1,Jordan Bell,/players/b/belljo01.html,216,Oregon,80
2020-21,26,TOT,NBA,C,6,1,82,3.1,9.7,0.318,0,0.9,0,3.1,8.8,0.35,0.4,0.9,0.5,3.1,7.5,10.5,3.1,1.3,2.2,1.8,3.1,6.6,Jordan Bell,/players/b/belljo01.html,216,Oregon,80
2016-17,22,ATL,NBA,SF,38,1,371,4.6,9.5,0.48,0.1,1.7,0.056,4.5,7.8,0.575,0.6,1.6,0.375,1.4,4.4,5.7,2.7,0.8,0.5,1.6,2,9.8,DeAndre' Bembry,/players/b/bembrde01.html,210,Saint Joseph's,77
2017-18,23,ATL,NBA,SF,26,3,455,4.2,10.1,0.414,0.9,2.4,0.367,3.3,7.8,0.429,1.5,2.6,0.576,0.6,5.1,5.7,3.9,1.7,0.9,3.7,3,10.8,DeAndre' Bembry,/players/b/bembrde01.html,210,Saint Joseph's,77
2018-19,24,ATL,NBA,SG,82,15,1931,5.1,11.5,0.446,0.9,3.2,0.289,4.2,8.3,0.508,1.6,2.5,0.64,1,5.7,6.7,3.8,2,0.8,2.6,3.5,12.8,DeAndre' Bembry,/players/b/bembrde01.html,210,Saint Joseph's,77
2019-20,25,ATL,NBA,SG,43,4,915,4.1,9,0.456,0.6,2.6,0.231,3.5,6.4,0.546,1,1.9,0.542,1.3,4.6,6,3.2,2.2,0.7,2.4,3.3,9.8,DeAndre' Bembry,/players/b/bembrde01.html,210,Saint Joseph's,77
2020-21,26,TOR,NBA,SF,51,12,972,4.3,8.4,0.513,0.5,2,0.264,3.8,6.5,0.589,1.7,2.4,0.682,1.2,4.2,5.4,4,2,0.7,2.6,3.2,10.9,DeAndre' Bembry,/players/b/bembrde01.html,210,Saint Joseph's,77
2016-17,19,PHO,NBA,PF,43,0,574,3.6,10.1,0.354,1.8,6.3,0.277,1.8,3.8,0.483,0.3,0.7,0.364,1.4,5,6.5,1.4,0.6,1.4,2,4.6,9.2,Dragan Bender,/players/b/bendedr01.html,225,None,84
2017-18,20,PHO,NBA,PF,82,37,2069,3.3,8.4,0.386,2.1,5.6,0.366,1.2,2.8,0.426,0.7,0.9,0.765,0.7,5.6,6.3,2.3,0.4,0.9,1.9,2.9,9.2,Dragan Bender,/players/b/bendedr01.html,225,None,84
2018-19,21,PHO,NBA,PF,46,27,826,3.8,8.6,0.447,1,4.4,0.218,2.9,4.2,0.688,1.4,2.4,0.593,1.5,6.5,8,2.4,0.8,1,1.6,3.9,10,Dragan Bender,/players/b/bendedr01.html,225,None,84
2019-20,22,TOT,NBA,"C,PF",16,3,286,5.2,11.6,0.446,1.9,5.4,0.349,3.3,6.2,0.531,1.3,1.8,0.714,2,7.2,9.2,3.5,0.5,1.1,2.6,5.3,13.5,Dragan Bender,/players/b/bendedr01.html,225,None,84
